position,feature,gain,normalized_gain,group
WRTE,player_fp_career_max_prior,22242.062957763672,0.0032659991024746467,Player profile
WRTE,player_fp_roll3_mean,52184.348205566406,0.007662690044815007,Player profile
WRTE,player_fp_roll3_std,9879.402954101562,0.0014506802378157315,Player profile
WRTE,player_fp_roll3_max,59197.60821533203,0.008692509128629834,Player profile
WRTE,player_fp_roll5_mean,153819.86987304688,0.02258673387905244,Player profile
WRTE,player_fp_roll5_std,16591.27911376953,0.0024362444615580697,Player profile
WRTE,player_fp_roll5_max,8816.857971191406,0.0012946573469933586,Player profile
WRTE,player_fp_roll8_mean,3109000.473876953,0.4565220760572972,Player profile
WRTE,player_fp_roll8_std,6423.363021850586,0.0009431992843501128,Player profile
WRTE,player_fp_roll8_max,18962.834106445312,0.002784480886041563,Player profile
WRTE,player_boom10_rate_prior,3293.383026123047,0.0004835965992834591,Player profile
WRTE,player_boom15_rate_prior,51689.26321411133,0.007589992330542215,Player profile
WRTE,player_boom20_rate_prior,30025.07421875,0.004408847580208081,Player profile
WRTE,player_games_this_season_prior,8684.79704284668,0.0012752656712182796,Other
WRTE,player_fp_season_mean_prior,67980.36572265625,0.009982159202485099,Player profile
WRTE,player_boom10_rate_this_season_prior,39909.36085510254,0.005860244932343593,Player profile
